Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Seat,Bachelor Seat Rent,"Turag, Dhaka",1,1,3000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/turag/98127/bachelor
Seat,Bachelor Seat Rent,"Turag, Dhaka",2,1,1500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/turag/98030/bachelor
Seat,Bachelor Seat Rent,"Turag, Dhaka",1,1,3250,October,Male,https://www.thetolet.com/bd/property-post/dhaka/turag/95969/bachelor
Room,Bachelor Room Rent,"Turag, Dhaka",1,1,4200,January,Male,https://www.thetolet.com/bd/property-post/dhaka/turag/75167/bachelor
Seat,Bachelor Seat Rent,"Turag, Dhaka",1,1,2400,November,Male,https://www.thetolet.com/bd/property-post/dhaka/turag/69517/bachelor
