Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Flat,Family Flat Rent,"Zigatola, Dhanmondi",2.0,1,15000,September,Anyone,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94433/sublet
Room,Sublet Room Rent,"Dhanmondi 15, Dhanmondi",,1,6100,October,Female,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94355/bachelor
Seat,Bachelor Seat Rent,"Shangkar, Dhanmondi",1.0,1,3600,August,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94258/bachelor
Seat,Bachelor Seat Rent,"Zigatola, Dhanmondi",1.0,1,3000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94256/bachelor
Seat,Bachelor Seat Rent,"Dhanmondi 15, Dhanmondi",1.0,1,1500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94241/bachelor
Seat,Bachelor Seat Rent,"Shangkar, Dhanmondi",1.0,1,2500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94240/bachelor
Seat,Bachelor Seat Rent,"Zigatola, Dhanmondi",1.0,1,2800,September,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94230/bachelor
Room,Bachelor Room Rent,"Zigatola, Dhanmondi",1.0,1,8500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94218/bachelor
Room,Bachelor Room Rent,"Dhanmondi, Dhaka",1.0,1,6200,September,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94214/bachelor
Seat,Bachelor Seat Rent,"Dhanmondi, Dhaka",1.0,1,3100,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94203/family
Flat,Family Flat Rent,"Dhanmondi 32, Dhanmondi",2.0,2,30000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94079/bachelor
Seat,Bachelor Seat Rent,"Elephant Road, Dhanmondi",1.0,1,2500,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/94044/family
Room,Family Room Rent,"Dhanmondi, Dhaka",1.0,1,12000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/93996/bachelor
Seat,Bachelor Seat Rent,"Dhanmondi 15, Dhanmondi",1.0,1,3500,August,Female,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/93839/bachelor
Room,Bachelor Room Rent,"Dhanmondi, Dhaka",1.0,1,13500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/93818/bachelor
Seat,Bachelor Seat Rent,"Zigatola, Dhanmondi",1.0,1,2200,August,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/93816/bachelor
Seat,Bachelor Seat Rent,"Zigatola, Dhanmondi",1.0,1,3200,September,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/93815/bachelor
Seat,Bachelor Seat Rent,"Dhanmondi 15, Dhanmondi",1.0,1,3500,August,Not specified,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/93813/family
Flat,Family Flat Rent,"Dhanmondi 15, Dhanmondi",1.0,1,11500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/93811/bachelor
Room,Bachelor Room Rent,"Zigatola, Dhanmondi",1.0,1,11000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/93808/bachelor
Seat,Bachelor Seat Rent,"Zigatola, Dhanmondi",1.0,1,3500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/93806/bachelor
Seat,Bachelor Seat Rent,"Dhanmondi, Dhaka",1.0,1,3900,August,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/93801/bachelor
Seat,Bachelor Seat Rent,"Shangkar, Dhanmondi",1.0,1,2500,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/93789/family
Flat,Family Flat Rent,"Dhanmondi, Dhaka",3.0,4,55000,September,Anyone,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/93658/sublet
Room,Sublet Room Rent,"Elephant Road, Dhanmondi",,1,8500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/93463/bachelor
Flat,Bachelor Flat Rent,"Dhanmondi 15, Dhanmondi",3.0,2,16000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/93455/bachelor
Seat,Bachelor Seat Rent,"West Dhanmondi, Dhanmondi",1.0,1,2600,September,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/93438/bachelor
Seat,Bachelor Seat Rent,"Shangkar, Dhanmondi",1.0,1,3500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/93433/bachelor
Seat,Bachelor Seat Rent,"Dhanmondi 15, Dhanmondi",1.0,1,3250,September,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/93423/bachelor
Room,Bachelor Room Rent,"Dhanmondi, Dhaka",1.0,1,9000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/93418/bachelor
Seat,Bachelor Seat Rent,"Zigatola, Dhanmondi",1.0,1,3500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/93417/sublet
Room,Sublet Room Rent,"Dhanmondi, Dhaka",,1,9000,September,Female,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/93409/bachelor
Seat,Bachelor Seat Rent,"Shangkar, Dhanmondi",1.0,1,3500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/93408/bachelor
Room,Bachelor Room Rent,"Dhanmondi 32, Dhanmondi",1.0,1,8000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/93407/bachelor
Seat,Bachelor Seat Rent,"Zigatola, Dhanmondi",1.0,1,3500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/93402/bachelor
Seat,Bachelor Seat Rent,"Shangkar, Dhanmondi",1.0,1,3500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/93400/bachelor
Seat,Bachelor Seat Rent,"Dhanmondi, Dhaka",1.0,1,4000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/93399/bachelor
Seat,Bachelor Seat Rent,"Dhanmondi 15, Dhanmondi",1.0,1,3500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/93396/bachelor
Room,Bachelor Room Rent,"Shangkar, Dhanmondi",1.0,1,2800,August,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/93392/bachelor
Seat,Bachelor Seat Rent,"Zigatola, Dhanmondi",1.0,1,3000,August,Female,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/93231/bachelor
Seat,Bachelor Seat Rent,"Shangkar, Dhanmondi",1.0,1,3200,August,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/93227/bachelor
Seat,Bachelor Seat Rent,"Dhanmondi, Dhaka",1.0,1,2900,August,Anyone,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/93222/sublet
Room,Sublet Room Rent,"Dhanmondi, Dhaka",,1,11000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/93221/bachelor
Seat,Bachelor Seat Rent,"Zigatola, Dhanmondi",1.0,1,3500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/93084/bachelor
Seat,Bachelor Seat Rent,"West Dhanmondi, Dhanmondi",1.0,1,3500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/93078/bachelor
Seat,Bachelor Seat Rent,"Dhanmondi 15, Dhanmondi",1.0,1,3000,August,Female,https://www.thetolet.com/bd/property-post/dhaka/dhanmondi/93069/sublet
