Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Flat,Family House Rent,"Bosila, Mohammadpur",2.0,2,13000,October,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94972/family
Flat,Family Flat Rent,"Shekhertek, Mohammadpur",3.0,2,13500,October,Anyone,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94951/sublet
Room,Sublet Room Rent,"Dhaka Uddan Housing, Mohammadpur",,1,7000,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94947/family
Flat,Family Flat Rent,"Chandrima Model Town, Mohammadpur",2.0,1,8000,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94924/family
Flat,Family House Rent,"Mohammadpur, Dhaka",2.0,1,7500,September,Anyone,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94906/sublet
Room,Sublet Room Rent,"Bosila, Mohammadpur",,1,6000,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94900/family
Flat,Family Flat Rent,"Dhaka Uddan Housing, Mohammadpur",3.0,3,19000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94898/bachelor
Seat,Bachelor Seat Rent,"Kaderabad Housing Society, Mohammadpur",1.0,1,3100,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94866/sublet
Room,Sublet Room Rent,"Shyamoli, Mohammadpur",,1,7000,September,Anyone,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94852/sublet
Room,Sublet Room Rent,"Dhaka Uddan Housing, Mohammadpur",,1,8500,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94831/family
Flat,Family Flat Rent,"Noboudoy Housing, Mohammadpur",2.0,2,13000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94826/bachelor
Room,Bachelor Room Rent,"Bosila, Mohammadpur",1.0,1,6300,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94814/family
Flat,Family Flat Rent,"Mohammadpur, Dhaka",3.0,3,28500,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94796/family
Unknown,Family Unit Rent,"Dhaka Uddan Housing, Mohammadpur",2.0,2,11500,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94755/family
Flat,Family Flat Rent,"Chandrima Model Town, Mohammadpur",3.0,3,11500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94747/bachelor
Seat,Bachelor Seat Rent,"Mohammadpur, Dhaka",1.0,1,2800,September,Female,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94734/bachelor
Room,Bachelor Room Rent,"Mohammadpur, Dhaka",1.0,1,8000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94733/bachelor
Seat,Bachelor Seat Rent,"Mohammadpur, Dhaka",1.0,1,1800,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94725/bachelor
Seat,Bachelor Seat Rent,"Mohammadpur, Dhaka",1.0,1,3000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94724/bachelor
Seat,Bachelor Seat Rent,"Jafrabad, Mohammadpur",1.0,1,3800,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94721/bachelor
Room,Bachelor Room Rent,"Mohammadpur, Dhaka",1.0,1,7000,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94720/family
Flat,Family Flat Rent,"Mohammadpur, Dhaka",3.0,2,12000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94719/bachelor
Seat,Bachelor Seat Rent,"Mohammadpur, Dhaka",1.0,1,2600,October,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94716/family
Flat,Family Flat Rent,"Mohammadpur, Dhaka",2.0,2,13000,August,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94711/family
Flat,Family Apartment Rent,"Mohammadpur, Dhaka",2.0,2,18000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94697/bachelor
Room,Bachelor Room Rent,"Mohammadpur, Dhaka",1.0,1,6000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94688/bachelor
Seat,Bachelor Seat Rent,"Shekhertek, Mohammadpur",1.0,1,3250,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94684/bachelor
Seat,Bachelor Seat Rent,"Shekhertek, Mohammadpur",1.0,1,1800,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94669/bachelor
Seat,Bachelor Seat Rent,"Shyamoli, Mohammadpur",1.0,1,2500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94665/bachelor
Flat,Bachelor Flat Rent,"Bosila, Mohammadpur",1.0,1,7000,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94663/family
Flat,Family Flat Rent,"Mohammadpur, Dhaka",3.0,2,18000,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94652/family
Flat,Family Flat Rent,"Chandrima Model Town, Mohammadpur",3.0,3,14000,October,Female,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94646/bachelor
Seat,Bachelor Seat Rent,"Mohammadpur, Dhaka",1.0,1,2900,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94645/bachelor
Seat,Bachelor Seat Rent,"Kaderabad Housing Society, Mohammadpur",1.0,1,2750,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94644/family
Flat,Family House Rent,"Mohammadpur, Dhaka",2.0,2,6500,October,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94642/family
Flat,Family Flat Rent,"Dhaka Uddan Housing, Mohammadpur",3.0,2,10000,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94641/family
Flat,Family Flat Rent,"Dhaka Uddan Housing, Mohammadpur",3.0,3,18000,September,Anyone,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94616/sublet
Room,Sublet Room Rent,"Lalmatia, Mohammadpur",,1,8500,September,Female,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94566/bachelor
Room,Bachelor Room Rent,"Shekhertek, Mohammadpur",1.0,1,8000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94565/bachelor
Seat,Bachelor Seat Rent,"Dhaka Uddan Housing, Mohammadpur",1.0,1,2360,September,Anyone,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94564/sublet
Room,Sublet Room Rent,"Dhaka Uddan Housing, Mohammadpur",,1,6500,November,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94563/family
Flat,Family Flat Rent,"Shekhertek, Mohammadpur",2.0,2,13000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94561/bachelor
Seat,Bachelor Seat Rent,"Mohammadpur, Dhaka",1.0,1,1700,August,Female,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94559/sublet
Room,Sublet Room Rent,"Mohammadpur, Dhaka",,1,5000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94556/bachelor
Seat,Bachelor Seat Rent,"Mohammadia Housing Society, Mohammadpur",1.0,1,1600,September,Female,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94554/sublet
Room,Sublet Room Rent,"Dhaka Uddan Housing, Mohammadpur",,1,4000,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94550/family
Flat,Family Flat Rent,"Shekhertek, Mohammadpur",2.0,2,14500,September,Not specified,https://www.thetolet.com/bd/property-post/dhaka/mohammadpur/94538/family
