Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,1900,February,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/77900/bachelor
Room,Bachelor Room Rent,"Savar, Dhaka",1,1,3900,February,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/77897/bachelor
Room,Bachelor Room Rent,"Savar, Dhaka",1,1,2500,March,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/77894/bachelor
Room,Bachelor Room Rent,"Savar, Dhaka",1,1,4000,February,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/77738/bachelor
Room,Bachelor Room Rent,"Savar, Dhaka",1,1,2750,March,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/77608/bachelor
Seat,Bachelor Seat Rent,"Bank Town, Savar",1,1,2000,February,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/77300/bachelor
Room,Bachelor Room Rent,"Savar, Dhaka",1,1,3500,February,Female,https://www.thetolet.com/bd/property-post/dhaka/savar/77015/bachelor
Flat,Bachelor House Rent,"Savar, Dhaka",1,1,3500,February,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/76307/bachelor
Flat,Bachelor House Rent,"Savar, Dhaka",1,1,4000,January,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/76299/bachelor
Flat,Bachelor House Rent,"Gerua, Savar",1,1,3500,February,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/75869/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,2200,January,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/75868/bachelor
Room,Bachelor Room Rent,"Savar, Dhaka",1,1,2700,February,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/75866/bachelor
Room,Bachelor Room Rent,"Savar, Dhaka",1,1,4000,January,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/75611/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,7000,February,Female,https://www.thetolet.com/bd/property-post/dhaka/savar/75609/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,3000,February,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/75404/bachelor
Seat,Bachelor Seat Rent,"Genda, Savar",1,1,2050,January,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/75285/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,4000,January,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/75154/bachelor
Seat,Bachelor Seat Rent,"Savar, Dhaka",1,1,2000,January,Male,https://www.thetolet.com/bd/property-post/dhaka/savar/75129/bachelor
