Rent_Type,Title,Location,Bedrooms,Bathrooms,Rent,Availability_Month,Gender,Property_URL,Thana,Year,adm3_pcode
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,8500,June,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/32093/bachelor,Adabor,2023,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,8500,June,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/32066/bachelor,Adabor,2023,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,8000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/87666/bachelor,Adabor,2025,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,8000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/65220/bachelor,Adabor,2024,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,8000,March,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/49065/bachelor,Adabor,2024,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,8000,February,Female,https://www.thetolet.com/bd/property-post/dhaka/adabor/47569/bachelor,Adabor,2024,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,8000,December,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/42295/bachelor,Adabor,2023,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,8000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/39475/bachelor,Adabor,2023,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,8000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/36537/bachelor,Adabor,2023,BD302602                                          
Room,Bachelor Room Rent,"Baitul Aman Housing, Adabor",1,1,7600,April,Female,https://www.thetolet.com/bd/property-post/dhaka/adabor/82199/bachelor,Adabor,2025,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,7500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/61151/bachelor,Adabor,2024,BD302602                                          
Room,Bachelor Room Rent,"Baitul Aman Housing, Adabor",1,1,7500,June,Anyone,https://www.thetolet.com/bd/property-post/dhaka/adabor/55475/bachelor,Adabor,2024,BD302602                                          
Seat,Bachelor Seat Rent,"PC Culture Housing, Adabor",1,1,7500,April,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/54204/bachelor,Adabor,2024,BD302602                                          
Seat,Bachelor Seat Rent,"Dhaka Housing, Adabor",1,1,7500,April,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/54100/bachelor,Adabor,2024,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,7500,February,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/48420/bachelor,Adabor,2024,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,7500,December,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/44217/bachelor,Adabor,2023,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,7500,December,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/42172/bachelor,Adabor,2023,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,7500,November,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/40569/bachelor,Adabor,2023,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,7400,March,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/49296/bachelor,Adabor,2024,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,7400,July,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/32622/bachelor,Adabor,2023,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,7300,August,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/90792/bachelor,Adabor,2025,BD302602                                          
Seat,Bachelor Seat Rent,"Baitul Aman Housing, Adabor",1,1,7200,July,Female,https://www.thetolet.com/bd/property-post/dhaka/adabor/86674/bachelor,Adabor,2025,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,7000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/91088/bachelor,Adabor,2025,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,7000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/90459/bachelor,Adabor,2025,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,7000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/85748/bachelor,Adabor,2025,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,7000,March,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/79054/bachelor,Adabor,2025,BD302602                                          
Seat,Bachelor Seat Rent,"Dhaka Housing, Adabor",1,1,7000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/58549/bachelor,Adabor,2024,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,7000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/58547/bachelor,Adabor,2024,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,7000,June,Female,https://www.thetolet.com/bd/property-post/dhaka/adabor/55961/bachelor,Adabor,2024,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,7000,May,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/54879/bachelor,Adabor,2024,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,7000,May,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/54713/bachelor,Adabor,2024,BD302602                                          
Seat,Bachelor Seat Rent,"Dhaka Housing, Adabor",1,1,7000,May,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/53952/bachelor,Adabor,2024,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,7000,April,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/51673/bachelor,Adabor,2024,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,7000,April,Female,https://www.thetolet.com/bd/property-post/dhaka/adabor/51285/bachelor,Adabor,2024,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,7000,January,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/45076/bachelor,Adabor,2023,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,6500,May,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/82869/bachelor,Adabor,2025,BD302602                                          
Flat,Bachelor House Rent,"PC Culture Housing, Adabor",1,1,6500,April,Female,https://www.thetolet.com/bd/property-post/dhaka/adabor/80186/bachelor,Adabor,2025,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,6500,February,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/74850/bachelor,Adabor,2024,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,6500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/65456/bachelor,Adabor,2024,BD302602                                          
Room,Bachelor Room Rent,"Baitul Aman Housing, Adabor",1,1,6500,September,Female,https://www.thetolet.com/bd/property-post/dhaka/adabor/64038/bachelor,Adabor,2024,BD302602                                          
Seat,Bachelor Seat Rent,"Dhaka Housing, Adabor",1,1,6500,July,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/60226/bachelor,Adabor,2024,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,6500,May,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/55113/bachelor,Adabor,2024,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,6500,December,Female,https://www.thetolet.com/bd/property-post/dhaka/adabor/44073/bachelor,Adabor,2023,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,6500,December,Female,https://www.thetolet.com/bd/property-post/dhaka/adabor/42171/bachelor,Adabor,2023,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,6500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/40116/bachelor,Adabor,2023,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,6500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/36833/bachelor,Adabor,2023,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,6500,October,Female,https://www.thetolet.com/bd/property-post/dhaka/adabor/36426/bachelor,Adabor,2023,BD302602                                          
Room,Bachelor Room Rent,"PC Culture Housing, Adabor",1,1,6000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/87588/bachelor,Adabor,2025,BD302602                                          
Seat,Bachelor Seat Rent,"Dhaka Housing, Adabor",1,1,6000,February,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/75336/bachelor,Adabor,2024,BD302602                                          
Room,Bachelor Room Rent,"Monsurabad, Adabor",1,1,6000,January,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/71757/bachelor,Adabor,2024,BD302602                                          
Room,Bachelor Room Rent,"Monsurabad, Adabor",1,1,6000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/62558/bachelor,Adabor,2024,BD302602                                          
Seat,Bachelor Seat Rent,"PC Culture Housing, Adabor",1,1,6000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/58399/bachelor,Adabor,2024,BD302602                                          
Room,Bachelor Room Rent,"Baitul Aman Housing, Adabor",1,1,6000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/58254/bachelor,Adabor,2024,BD302602                                          
Room,Bachelor Room Rent,"Dhaka Housing, Adabor",1,1,6000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/57447/bachelor,Adabor,2024,BD302602                                          
Seat,Bachelor Seat Rent,"Dhaka Housing, Adabor",1,1,6000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/56257/bachelor,Adabor,2024,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,6000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/56255/bachelor,Adabor,2024,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,6000,March,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/51144/bachelor,Adabor,2024,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,6000,February,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/47143/bachelor,Adabor,2024,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,6000,February,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/46873/bachelor,Adabor,2024,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,6000,February,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/46283/bachelor,Adabor,2023,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,6000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/41001/bachelor,Adabor,2023,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,5910,September,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/36445/bachelor,Adabor,2023,BD302602                                          
Seat,Bachelor Seat Rent,"Dhaka Housing, Adabor",1,1,5500,August,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/91678/bachelor,Adabor,2025,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,5500,March,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/78932/bachelor,Adabor,2025,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,5500,December,Female,https://www.thetolet.com/bd/property-post/dhaka/adabor/72036/bachelor,Adabor,2024,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,5500,December,Female,https://www.thetolet.com/bd/property-post/dhaka/adabor/43311/bachelor,Adabor,2023,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,5300,September,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/64106/bachelor,Adabor,2024,BD302602                                          
Seat,Bachelor Seat Rent,"Dhaka Housing, Adabor",1,1,5000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/64516/bachelor,Adabor,2024,BD302602                                          
Seat,Bachelor Seat Rent,"Dhaka Housing, Adabor",1,1,5000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/58486/bachelor,Adabor,2024,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,5000,April,Female,https://www.thetolet.com/bd/property-post/dhaka/adabor/50790/bachelor,Adabor,2024,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,5000,March,Female,https://www.thetolet.com/bd/property-post/dhaka/adabor/47819/bachelor,Adabor,2024,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,5000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/35755/bachelor,Adabor,2023,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,4500,January,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/45330/bachelor,Adabor,2023,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,4200,December,Female,https://www.thetolet.com/bd/property-post/dhaka/adabor/70331/bachelor,Adabor,2024,BD302602                                          
Seat,Bachelor Seat Rent,"Baitul Aman Housing, Adabor",1,1,4000,July,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/88859/bachelor,Adabor,2025,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,4000,December,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/43512/bachelor,Adabor,2023,BD302602                                          
Seat,Bachelor Seat Rent,"PC Culture Housing, Adabor",1,1,3500,July,Female,https://www.thetolet.com/bd/property-post/dhaka/adabor/88079/bachelor,Adabor,2025,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,3500,June,Female,https://www.thetolet.com/bd/property-post/dhaka/adabor/83265/bachelor,Adabor,2025,BD302602                                          
Seat,Bachelor Seat Rent,"Dhaka Housing, Adabor",1,1,3500,April,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/81205/bachelor,Adabor,2025,BD302602                                          
Seat,Bachelor Seat Rent,"Dhaka Housing, Adabor",1,1,3500,March,Female,https://www.thetolet.com/bd/property-post/dhaka/adabor/79063/bachelor,Adabor,2025,BD302602                                          
Room,Bachelor Room Rent,"Baitul Aman Housing, Adabor",1,1,3500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/65327/bachelor,Adabor,2024,BD302602                                          
Room,Bachelor Room Rent,"Baitul Aman Housing, Adabor",1,1,3500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/65121/bachelor,Adabor,2024,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,3500,June,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/56783/bachelor,Adabor,2024,BD302602                                          
Room,Bachelor Room Rent,"Dhaka Housing, Adabor",1,1,3500,May,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/54199/bachelor,Adabor,2024,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,3500,January,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/44936/bachelor,Adabor,2023,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,3500,December,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/40871/bachelor,Adabor,2023,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,3500,November,Female,https://www.thetolet.com/bd/property-post/dhaka/adabor/39542/bachelor,Adabor,2023,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,3500,October,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/36834/bachelor,Adabor,2023,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,3500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/36832/bachelor,Adabor,2023,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,3500,September,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/35961/bachelor,Adabor,2023,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,3250,May,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/55323/bachelor,Adabor,2024,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,3100,July,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/32472/bachelor,Adabor,2023,BD302602                                          
Seat,Bachelor Seat Rent,"Monsurabad, Adabor",1,1,3000,August,Female,https://www.thetolet.com/bd/property-post/dhaka/adabor/94083/bachelor,Adabor,2025,BD302602                                          
Seat,Bachelor Seat Rent,"Dhaka Housing, Adabor",1,1,3000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/91856/bachelor,Adabor,2025,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,3000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/91547/bachelor,Adabor,2025,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,3000,March,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/79412/bachelor,Adabor,2025,BD302602                                          
Flat,Bachelor House Rent,"Dhaka Housing, Adabor",1,1,3000,March,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/78633/bachelor,Adabor,2025,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,3000,December,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/68943/bachelor,Adabor,2024,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,3000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/64232/bachelor,Adabor,2024,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,3000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/62261/bachelor,Adabor,2024,BD302602                                          
Seat,Bachelor Seat Rent,"PC Culture Housing, Adabor",1,1,3000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/62260/bachelor,Adabor,2024,BD302602                                          
Seat,Bachelor Seat Rent,"PC Culture Housing, Adabor",1,1,3000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/62195/bachelor,Adabor,2024,BD302602                                          
Seat,Bachelor Seat Rent,"PC Culture Housing, Adabor",1,1,3000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/62194/bachelor,Adabor,2024,BD302602                                          
Room,Bachelor Room Rent,"Baitul Aman Housing, Adabor",1,1,3000,May,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/54888/bachelor,Adabor,2024,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,3000,March,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/50249/bachelor,Adabor,2024,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,3000,January,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/44908/bachelor,Adabor,2023,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,3000,December,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/43598/bachelor,Adabor,2023,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,3000,December,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/41086/bachelor,Adabor,2023,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,3000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/40499/bachelor,Adabor,2023,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,3000,October,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/38561/bachelor,Adabor,2023,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,3000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/36134/bachelor,Adabor,2023,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,3000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/36010/bachelor,Adabor,2023,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,3000,September,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/33923/bachelor,Adabor,2023,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,3000,August,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/33636/bachelor,Adabor,2023,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,3000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/31771/bachelor,Adabor,2023,BD302602                                          
Seat,Bachelor Seat Rent,"Adabor, Dhaka",1,1,3000,June,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/31468/bachelor,Adabor,2023,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,2900,February,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/46532/bachelor,Adabor,2023,BD302602                                          
Room,Bachelor Room Rent,"Adabor, Dhaka",1,1,2800,November,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/40566/bachelor,Adabor,2023,BD302602                                          
Seat,Bachelor Seat Rent,"Baitul Aman Housing, Adabor",1,1,2750,September,Male,https://www.thetolet.com/bd/property-post/dhaka/adabor/64971/bachelor,Adabor,2024,BD302602                                          
